Name,Test Matches,Test Runs,Test Wickets,Test Catches,ODI Matches,ODI Runs,ODI Wickets,ODI Catches,T20 Matches,T20 Runs,T20 Wickets,T20 Catches,Total Matches,Total Runs,Total Wickets,Total Catches,Runs + Wickets + Catches
MS Dhoni,90,4876,0,256,347,10599,1,318,0,0,0,0,437,15475,1,574,16050
Rahul Dravid,164,13288,1,210,340,10768,4,196,1,31,0,0,505,24087,5,406,24498
Virat Kohli,92,7547,0,90,254,12169,4,132,90,3159,4,42,436,22875,8,264,23147
Mohammad Azharuddin,99,6215,0,105,334,9378,12,156,0,0,0,0,433,15593,12,261,15866
Sachin Tendulkar,200,15921,45,115,463,18426,154,140,1,10,1,1,664,34357,200,256,34813
Nayan Mongia,44,1442,0,99,140,1272,0,110,0,0,0,0,184,2714,0,209,2923
Syed Kirmani,88,2759,1,160,49,373,0,27,0,0,0,0,137,3132,1,187,3320
V. V. S. Laxman,134,8781,2,135,86,2338,0,39,0,0,0,0,220,11119,2,174,11295
Virender Sehwag,104,8448,40,81,241,7995,94,90,19,394,0,2,364,16837,134,173,17144
Kiran More,49,1285,0,110,94,563,0,63,0,0,0,0,143,1848,0,173,2021
Sourav Ganguly,113,7212,32,71,308,11221,100,99,0,0,0,0,421,18433,132,170,18735
Suresh Raina,18,768,13,23,226,5615,36,102,78,1605,13,42,322,7988,62,167,8217
Rohit Sharma,39,2679,2,42,227,9205,8,78,111,2864,1,41,377,14748,11,161,14920
Ajinkya Rahane,74,4647,0,96,90,2962,0,48,20,375,0,16,184,7984,0,160,8144
Anil Kumble,132,2506,619,60,269,903,337,85,0,0,0,0,401,3409,956,145,4510
Yuvraj Singh,40,1900,9,31,301,8609,110,93,58,1177,28,12,399,11686,147,136,11969
Kapil Dev,131,5248,434,64,225,3783,253,71,0,0,0,0,356,9031,687,135,9853
Dinesh Karthik,26,1025,0,57,94,1752,0,64,32,399,0,14,152,3176,0,135,3311
Sunil Gavaskar,125,10122,1,108,108,3092,1,22,0,0,0,0,233,13214,2,130,13346
